learning_rate,qlearning_rate,value_loss,policy_loss,entropy,loss,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,output_scaleing,global_step,gym_id,exp_name,circuit,seed
0.0025,0,35.73228073120117,-0.002401266247034073,0.6912868022918701,17.856826782226562,0.0026520853862166405,0.001920440699905157,0.0,0.0015974044799804688,211,1,512,CartPole-v1,"CP-ppo-ac-NN(5,5)-(lr=2.5e-3)-(67-params)",classic_NN_6-6,20
0.0025,0,29.601425170898438,-0.019345354288816452,0.6838294267654419,14.774528503417969,0.0023559918627142906,0.002806209959089756,0.0,0.016100525856018066,211,1,1024,CartPole-v1,"CP-ppo-ac-NN(5,5)-(lr=2.5e-3)-(67-params)",classic_NN_6-6,20
0.0025,0,41.11027908325195,-0.01974651962518692,0.6625497341156006,20.528766632080078,0.019797705113887787,0.0063615767285227776,0.00048828125,0.005918025970458984,212,1,1536,CartPole-v1,"CP-ppo-ac-NN(5,5)-(lr=2.5e-3)-(67-params)",classic_NN_6-6,20
0.0025,0,52.360477447509766,-0.02197205275297165,0.646757185459137,26.151798248291016,0.004590070806443691,0.005762618966400623,0.0048828125,0.012820780277252197,212,1,2048,CartPole-v1,"CP-ppo-ac-NN(5,5)-(lr=2.5e-3)-(67-params)",classic_NN_6-6,20
0.0025,0,66.40998077392578,-0.01812230795621872,0.6260762810707092,33.180606842041016,0.008087923750281334,0.004940461367368698,0.00439453125,-0.0006119012832641602,213,1,2560,CartPole-v1,"CP-ppo-ac-NN(5,5)-(lr=2.5e-3)-(67-params)",classic_NN_6-6,20
0.0025,0,76.5202865600586,-0.0031122490763664246,0.6261752843856812,38.250770568847656,-0.006528695113956928,0.002278656233102083,0.0,0.03623169660568237,213,1,3072,CartPole-v1,"CP-ppo-ac-NN(5,5)-(lr=2.5e-3)-(67-params)",classic_NN_6-6,20
0.0025,0,56.36763000488281,-0.00440974161028862,0.5978503823280334,28.17342758178711,0.019380856305360794,0.003481105901300907,0.0,0.04698413610458374,212,1,3584,CartPole-v1,"CP-ppo-ac-NN(5,5)-(lr=2.5e-3)-(67-params)",classic_NN_6-6,20
0.0025,0,74.62266540527344,-0.008004505187273026,0.5952345728874207,37.2973747253418,0.023407766595482826,0.003841051831841469,0.0,0.03242450952529907,212,1,4096,CartPole-v1,"CP-ppo-ac-NN(5,5)-(lr=2.5e-3)-(67-params)",classic_NN_6-6,20
0.0025,0,71.65726470947266,-0.004960997030138969,0.5978484153747559,35.817691802978516,0.006715676281601191,0.004102631937712431,0.00146484375,0.034834980964660645,212,1,4608,CartPole-v1,"CP-ppo-ac-NN(5,5)-(lr=2.5e-3)-(67-params)",classic_NN_6-6,20
0.0025,0,84.75961303710938,-0.007608376443386078,0.5765470862388611,42.366432189941406,0.0009233574382960796,0.0010844948701560497,0.0,0.053779006004333496,212,1,5120,CartPole-v1,"CP-ppo-ac-NN(5,5)-(lr=2.5e-3)-(67-params)",classic_NN_6-6,20
